,idx,step,date,position_index,position,real_position,data_low,data_volume,data_open,data_high,data_Volume USD,data_unix,data_symbol,data_close,portfolio_valuation,portfolio_distribution_asset,portfolio_distribution_fiat,portfolio_distribution_borrowed_asset,portfolio_distribution_borrowed_fiat,portfolio_distribution_interest_asset,portfolio_distribution_interest_fiat,reward
0,4,0,2018-05-22T09:00:00.000000000,0,-1,-1,8220.0,3954060.34,8295.9,8296.01,479.07,1526979600,BTC/USD,8245.47,10000.0,0,20000.0,1.21278714251583,0,0,0,0
1,5,1,2018-05-22T10:00:00.000000000,tensor([2]),1,1.0,8230.45,2396600.17,8245.47,8264.98,290.38,1526983200,BTC/USD,8264.98,10021.656744855056,1.212544585087327,0,0,0,0.0,0.0,0.0021633327928036925
2,6,2,2018-05-22T11:00:00.000000000,tensor([0]),-1,-0.9844043448404176,8180.0,6677263.92,8264.98,8271.31,812.96,1526986800,BTC/USD,8200.0,10098.398181772718,0,20039.305227838355,1.2123021004187764,0,3.636906301256329e-06,0.0,0.00762838961862322
3,7,3,2018-05-22T12:00:00.000000000,tensor([2]),1,0.9999970353722323,8119.38,12590344.3,8200.0,8200.0,1542.87,1526990400,BTC/USD,8170.0,10059.48604910448,1.2312675919795362,0.029822631669958355,0,0,0.0,0.0,-0.003860740597146948
4,8,4,2018-05-22T13:00:00.000000000,tensor([1]),0,0.0,8170.0,3531957.36,8170.0,8232.14,430.36,1526994000,BTC/USD,8217.0,10058.480103481834,0,10058.480103481834,0,0,0.0,0.0,-0.00010000470384084384
5,9,5,2018-05-22T14:00:00.000000000,tensor([0]),-1,-1.0035732938189934,8189.84,2571209.76,8217.0,8246.0,312.54,1526997600,BTC/USD,8231.63,10039.537247849581,0,20114.948712092457,1.2239837356755785,0,3.671951207026735e-06,0.0,-0.00188504775475287
6,10,6,2018-05-22T15:00:00.000000000,tensor([0]),-1,-1.0038591294096377,8210.76,1092216.63,8231.63,8248.94,132.75,1527001200,BTC/USD,8232.8,10038.105182582658,0,20114.948712092457,1.2239837356755785,0,3.671951207026735e-06,0.0,-0.00014265273169537123
7,11,7,2018-05-22T16:00:00.000000000,tensor([0]),-1,-1.0020477745115706,8212.68,2749747.1,8232.8,8259.95,333.64,1527004800,BTC/USD,8225.38,10047.18716914725,0,20114.948712092457,1.2239837356755785,0,3.671951207026735e-06,0.0,0.0009043420453646176
8,12,8,2018-05-22T17:00:00.000000000,tensor([1]),0,0.0,8200.0,1691348.41,8225.38,8242.49,205.86,1527008400,BTC/USD,8200.01,10046.18029230527,0,10046.18029230527,0,0,0.0,0.0,-0.00010021982076965992
9,13,9,2018-05-22T18:00:00.000000000,tensor([0]),-1,-1.0048886607442116,8186.0,987841.55,8200.01,8232.04,120.33,1527012000,BTC/USD,8219.98,10020.681917567475,0,20090.351549455594,1.2250199420156558,0,3.675059826046967e-06,0.0,-0.002541342856136492
